id,osm_id,name,chain,latitude,longitude,address
1,node/1239099792,Arhelan,arhelan,52.9832225,22.8876983,"Cmentarna 46E, Łapy"
2,node/1239099881,Arhelan,arhelan,52.9907937,22.875663,"Główna 55, Łapy"
3,node/1239099897,Arhelan,arhelan,52.9930806,22.8869656,"Generała Władysława Sikorskiego 26, Łapy"
4,node/1503719988,Arhelan,arhelan,52.261506,20.957105,"Powązkowska 74, Warszawa"
5,node/1747337961,Arhelan,arhelan,53.206898,23.3277398,"Nowa 20, Supraśl"
6,node/1807701669,Arhelan,arhelan,53.8352402,22.357243,"Karola Augusta Bahrkego 5A, Ełk"
7,node/1868884086,Arhelan,arhelan,53.4035268,22.8071399,"Tysiąclecia 21/3, Mońki"
8,node/1872658257,Arhelan,arhelan,52.6927812,23.8325506,"Grudkowska 3, Białowieża"
10,node/1985786926,Arhelan,arhelan,52.733356,23.5913107,"Armii Krajowej 14, Hajnówka"
11,node/2283052946,Arhelan,arhelan,53.4020574,23.4865442,"Białostocka 130, Sokółka"
12,node/2905723974,Arhelan,arhelan,53.130388,23.1838772,"Bolesława Chrobrego 10A, Białystok"
13,node/3021943623,Arhelan,arhelan,53.2062235,23.2010319,"Żurawia 15, Wasilków"
14,node/3043566876,Arhelan,arhelan,53.1240431,23.1513456,"Jerzego Waszyngtona 27, Białystok"
15,node/3060844732,Arhelan,arhelan,52.7747671,23.1948771,"Adama Mickiewicza 124, Bielsk Podlaski"
16,node/3078192797,Arhelan,arhelan,52.7727268,23.1911315,"Kryniczna 14, Bielsk Podlaski"
17,node/3237819738,Arhelan,arhelan,53.8103876,21.9497584,"Ratuszowa 2, Orzysz"
18,node/4157159302,Arhelan,arhelan,52.6520752,23.0464337,"Bielska 18, Boćki"
19,node/4294223889,Arhelan,arhelan,52.8345463,23.7524165,"Hajnowska 31a, Narewka"
20,node/4315073054,Arhelan,arhelan,52.3300794,23.0463585,"Strażacka 4, Mielnik"
21,node/4734566886,Arhelan,arhelan,52.7458534,22.8388805,"Błonie 6, Brańsk"
22,node/4744052981,Arhelan,arhelan,52.9936375,22.8907762,"Podpułkownika Stanisława Nilskiego-Łapińskiego 2, Łapy"
23,node/4836549242,Arhelan,arhelan,52.7043894,23.332588,"Adama Mickiewicza 2, Orla"
24,node/5319268726,Arhelan,arhelan,52.8707083,22.5442152,"Kolejowa 6c, Szepietowo"
25,node/5806547900,Arhelan,arhelan,53.0143647,23.3365205,"Muchawiecka 2, Zabłudów"
26,node/5810380919,Arhelan,arhelan,52.6764019,22.5080407,"Wojska Polskiego 23A, Ciechanowiec"
27,node/7108665293,Arhelan,arhelan,53.1186792,23.0760999,"Długa 1A, Klepacze"
28,node/8446434879,Arhelan,arhelan,53.0977618,23.1330345,"Feliksa Filipowicza 6 loka. U2, Białystok"
